ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,1.002683921,1.002682430
16,33554432,536870912,0.908689019,0.908687720
32,16777216,536870912,0.911850947,0.911849153
64,8388608,536870912,0.838537181,0.838531230
128,4194304,536870912,0.774506324,0.774499014
256,2097152,536870912,0.668679944,0.668667681
512,1048576,536870912,0.643568403,0.643547503
1024,524288,536870912,0.635038801,0.634998990
2048,262144,536870912,0.635207229,0.635127993
4096,131072,536870912,0.630985145,0.630826169
8192,65536,536870912,0.621518378,0.621205766
16384,32768,536870912,0.623661077,0.623022122
32768,16384,536870912,0.635006754,0.633691309
65536,8192,536870912,0.637208496,0.634613278
131072,4096,536870912,0.639752387,0.634579854
262144,2048,536870912,0.654363736,0.643922892
524288,1024,536870912,0.706795725,0.685928960
1048576,512,536870912,0.823036045,0.780779790
2097152,256,536870912,1.012012572,0.927311877
4194304,128,536870912,1.184381471,1.013729420
8388608,64,536870912,1.399191019,1.058549532
16777216,32,536870912,1.744069723,1.060854955
33554432,16,536870912,2.437455390,1.068582962
67108864,8,536870912,3.795603777,1.060801657
134217728,4,536870912,6.527145102,1.054155551
268435456,2,536870912,11.963042603,1.051294914
536870912,1,536870912,78.858671535,56.675029912
